CodUF	UF	Codmundv	Codmun	NomeMunic
11	RO	1100015	110001	ALTA FLORESTA D'OESTE
11	RO	1100023	110002	ARIQUEMES
11	RO	1100031	110003	CABIXI
11	RO	1100049	110004	CACOAL
11	RO	1100056	110005	CEREJEIRAS
11	RO	1100064	110006	COLORADO DO OESTE
11	RO	1100072	110007	CORUMBIARA
11	RO	1100080	110008	COSTA MARQUES
11	RO	1100098	110009	ESPIGÃO D'OESTE
11	RO	1100106	110010	GUAJARÁ-MIRIM
11	RO	1100114	110011	JARU
11	RO	1100122	110012	JI-PARANÁ
11	RO	1100130	110013	MACHADINHO D'OESTE
11	RO	1100148	110014	NOVA BRASILÂNDIA D'OESTE
11	RO	1100155	110015	OURO PRETO DO OESTE
11	RO	1100189	110018	PIMENTA BUENO
11	RO	1100205	110020	PORTO VELHO
11	RO	1100254	110025	PRESIDENTE MÉDICI
11	RO	1100262	110026	RIO CRESPO
11	RO	1100288	110028	ROLIM DE MOURA
11	RO	1100296	110029	SANTA LUZIA D'OESTE
11	RO	1100304	110030	VILHENA
11	RO	1100320	110032	SÃO MIGUEL DO GUAPORÉ
11	RO	1100338	110033	NOVA MAMORÉ
11	RO	1100346	110034	ALVORADA D'OESTE
11	RO	1100379	110037	ALTO ALEGRE DOS PARECIS
11	RO	1100403	110040	ALTO PARAÍSO
11	RO	1100452	110045	BURITIS
11	RO	1100502	110050	NOVO HORIZONTE DO OESTE
11	RO	1100601	110060	CACAULÂNDIA
11	RO	1100700	110070	CAMPO NOVO DE RONDÔNIA
11	RO	1100809	110080	CANDEIAS DO JAMARI
11	RO	1100908	110090	CASTANHEIRAS
11	RO	1100924	110092	CHUPINGUAIA
11	RO	1100940	110094	CUJUBIM
11	RO	1101005	110100	GOVERNADOR JORGE TEIXEIRA
11	RO	1101104	110110	ITAPUÃ DO OESTE
11	RO	1101203	110120	MINISTRO ANDREAZZA
11	RO	1101302	110130	MIRANTE DA SERRA
11	RO	1101401	110140	MONTE NEGRO
11	RO	1101435	110143	NOVA UNIÃO
11	RO	1101450	110145	PARECIS
11	RO	1101468	110146	PIMENTEIRAS DO OESTE
11	RO	1101476	110147	PRIMAVERA DE RONDÔNIA
11	RO	1101484	110148	SÃO FELIPE D'OESTE
11	RO	1101492	110149	SÃO FRANCISCO DO GUAPORÉ
11	RO	1101500	110150	SERINGUEIRAS
11	RO	1101559	110155	TEIXEIRÓPOLIS
11	RO	1101609	110160	THEOBROMA
11	RO	1101708	110170	URUPÁ
11	RO	1101757	110175	VALE DO ANARI
11	RO	1101807	110180	VALE DO PARAÍSO
12	AC	1200013	120001	ACRELÂNDIA
12	AC	1200054	120005	ASSIS BRASIL
12	AC	1200104	120010	BRASILÉIA
12	AC	1200138	120013	BUJARI
12	AC	1200179	120017	CAPIXABA
